Title,IMDb Rating,Year,Certificates,Director,Star Cast,Duration (minutes),Star Cast Lower,Star Cast List,Star Cast List Clean,Genres,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Reality-TV,Romance,Sci-Fi,Sport,Thriller,Western,Director_Encoded
unsung hero,0.6964285714285715,0.9907407407407408,PG,richard l. ramsey,"Richard L. Ramsey, Richard Ramsey, Joel Smallbone",0.2472324723247232,"richard l. ramsey, richard ramsey, joel smallbone","['richard l. ramsey', 'richard ramsey', 'joel smallbone']","['richard l. ramsey', 'richard ramsey', 'joel smallbone']",['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1933
despicable me ,0.5714285714285715,0.9907407407407408,PG,chris renaud,"Steve Carell, Kristen Wiig, Joey King",0.1808118081180811,"steve carell, kristen wiig, joey king","['steve carell', 'kristen wiig', 'joey king']","['steve carell', 'kristen wiig', 'joey king']",['Animation'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389
migration,0.5000000000000001,0.9814814814814814,PG,benjamin renner,"Mike White, Benjamin Renner, Ken Daurio",0.1365313653136531,"mike white, benjamin renner, ken daurio","['mike white', 'benjamin renner', 'ken daurio']","['mike white', 'benjamin renner', 'ken daurio']",['Animation'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209
inside out,0.75,0.9074074074074074,PG,pete docter,"Pete Docter, Ronnie Del Carmen, Meg Le, Fauve",0.1808118081180811,"pete docter, ronnie del carmen, meg le, fauve","['pete docter', 'ronnie del carmen', 'meg le', 'fauve']","['pete docter', 'ronnie del carmen', 'meg le', 'fauve']",['Animation'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1816
descendants: the rise of red,0.5714285714285715,0.9907407407407408,TV-G,jennifer phang,"Rita Ora, Joshua Colley, China Anne Mc, Clain",0.2594095940959409,"rita ora, joshua colley, china anne mc, clain","['rita ora', 'joshua colley', 'china anne mc', 'clain']","['rita ora', 'joshua colley', 'china anne mc', 'clain']",['Action'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1045
wish,0.3035714285714286,0.9814814814814814,PG,chris buck,"Jennifer Lee, Allison Moore, Chris Buck",0.1808118081180811,"jennifer lee, allison moore, chris buck","['jennifer lee', 'allison moore', 'chris buck']","['jennifer lee', 'allison moore', 'chris buck']",['Animation'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,373
wonka,0.5535714285714287,0.9814814814814814,PG,paul king,"Roald Dahl, Paul King, Simon Farnaby",0.2583025830258302,"roald dahl, paul king, simon farnaby","['roald dahl', 'paul king', 'simon farnaby']","['roald dahl', 'paul king', 'simon farnaby']",['Adventure'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1790
kung fu panda ,0.4285714285714286,0.9907407407407408,PG,mike mitchell,"Jonathan Aibel, Glenn Berger, Darren Lemke",0.1771217712177122,"jonathan aibel, glenn berger, darren lemke","['jonathan aibel', 'glenn berger', 'darren lemke']","['jonathan aibel', 'glenn berger', 'darren lemke']",['Animation'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1629
inside out ,0.5714285714285715,0.9907407407407408,PG,kelsey mann,"Amy Poehler, Phyllis Smith, Lewis Black",0.1992619926199262,"amy poehler, phyllis smith, lewis black","['amy poehler', 'phyllis smith', 'lewis black']","['amy poehler', 'phyllis smith', 'lewis black']",['Animation'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1289
thelma the unicorn,0.3392857142857143,0.9907407407407408,PG,jared hess,"Brittany Howard, Will Forte, Jon Heder",0.1734317343173431,"brittany howard, will forte, jon heder","['brittany howard', 'will forte', 'jon heder']","['brittany howard', 'will forte', 'jon heder']",['Animation'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1006
the garfield movie,0.3571428571428573,0.9907407407407408,PG,mark dindal,"Paul A. Kaplan, Mark Torgove, David Reynolds",0.2029520295202952,"paul a. kaplan, mark torgove, david reynolds","['paul a. kaplan', 'mark torgove', 'david reynolds']","['paul a. kaplan', 'mark torgove', 'david reynolds']",['Animation'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1479
if,0.5000000000000001,0.9907407407407408,PG,john krasinski,"Cailey Fleming, Ryan Reynolds, John Krasinski",0.2140221402214022,"cailey fleming, ryan reynolds, john krasinski","['cailey fleming', 'ryan reynolds', 'john krasinski']","['cailey fleming', 'ryan reynolds', 'john krasinski']",['Animation'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1135
twister,0.4642857142857144,0.7314814814814815,PG-13,jan de bont,"Helen Hunt, Bill Paxton, Cary Elwes",0.2472324723247232,"helen hunt, bill paxton, cary elwes","['helen hunt', 'bill paxton', 'cary elwes']","['helen hunt', 'bill paxton', 'cary elwes']",['Action'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,998
land of bad,0.4642857142857144,0.9907407407407408,R,william eubank,"Liam Hemsworth, Russell Crowe, Luke Hemsworth",0.2472324723247232,"liam hemsworth, russell crowe, luke hemsworth","['liam hemsworth', 'russell crowe', 'luke hemsworth']","['liam hemsworth', 'russell crowe', 'luke hemsworth']",['Action'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2429
saltburn,0.5535714285714287,0.9814814814814814,R,emerald fennell,"Barry Keoghan, Jacob Elordi, Rosamund Pike",0.3136531365313653,"barry keoghan, jacob elordi, rosamund pike","['barry keoghan', 'jacob elordi', 'rosamund pike']","['barry keoghan', 'jacob elordi', 'rosamund pike']",['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,632
pearl,0.5535714285714287,0.9722222222222222,R,ti west,"Ti West, Mia Goth",0.2103321033210332,"ti west, mia goth","['ti west', 'mia goth']","['ti west', 'mia goth']",['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2293
force of nature: the dry ,0.3750000000000001,0.9907407407407408,R,robert connolly,"Eric Bana, Anna Torv, Deborra-Lee Furness",0.2730627306273063,"eric bana, anna torv, deborra-lee furness","['eric bana', 'anna torv', 'deborra-lee furness']","['eric bana', 'anna torv', 'deborra-lee furness']",['Crime'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970
the crow,0.5714285714285715,0.9907407407407408,R,rupert sanders,"Bill Skarsgård, FKA twigs, Danny Huston",0.2594095940959409,"bill skarsgård, fka twigs, danny huston","['bill skarsgård', 'fka twigs', 'danny huston']","['bill skarsgård', 'fka twigs', 'danny huston']",['Action'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2037
the surfer,0.6250000000000002,0.9907407407407408,R,lorcan finnegan,"Nicolas Cage, Julian Mc, Mahon, Nicholas Cassim",0.2594095940959409,"nicolas cage, julian mc, mahon, nicholas cassim","['nicolas cage', 'julian mc', 'mahon', 'nicholas cassim']","['nicolas cage', 'julian mc', 'mahon', 'nicholas cassim']",['Thriller'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1406
manjummel boys,0.8035714285714288,0.9907407407407408,R,chidambaram,"Soubin Shahir, Sreenath Bhasi, Balu Varghese",0.2594095940959409,"soubin shahir, sreenath bhasi, balu varghese","['soubin shahir', 'sreenath bhasi', 'balu varghese']","['soubin shahir', 'sreenath bhasi', 'balu varghese']",['Adventure'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368
the invitation,0.25,0.9722222222222222,PG-13,jessica m. thompson,"Nathalie Emmanuel, Thomas Doherty, Sean Pertwee",0.2177121771217712,"nathalie emmanuel, thomas doherty, sean pertwee","['nathalie emmanuel', 'thomas doherty', 'sean pertwee']","['nathalie emmanuel', 'thomas doherty', 'sean pertwee']",['Horror'],0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1064
the watchers,0.5714285714285715,0.9907407407407408,PG-13,ishana shyamalan,"Dakota Fanning, Georgina Campbell, Olwen Fouéré",0.2066420664206642,"dakota fanning, georgina campbell, olwen fouéré","['dakota fanning', 'georgina campbell', 'olwen fouéré']","['dakota fanning', 'georgina campbell', 'olwen fouéré']",['Fantasy'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,923
where the crawdads sing,0.5892857142857144,0.9722222222222222,PG-13,olivia newman,"Daisy Edgar-Jones, Taylor John Smith, Harris Dickinson",0.2915129151291513,"daisy edgar-jones, taylor john smith, harris dickinson","['daisy edgar-jones', 'taylor john smith', 'harris dickinson']","['daisy edgar-jones', 'taylor john smith', 'harris dickinson']",['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1740
argylle,0.3214285714285715,0.9907407407407408,PG-13,matthew vaughn,"Henry Cavill, Bryce Dallas Howard, Sam Rockwell",0.3431734317343173,"henry cavill, bryce dallas howard, sam rockwell","['henry cavill', 'bryce dallas howard', 'sam rockwell']","['henry cavill', 'bryce dallas howard', 'sam rockwell']",['Action'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1541
in a violent nature,0.3214285714285715,0.9907407407407408,R,chris nash,Chris Nash,0.2594095940959409,chris nash,['chris nash'],['chris nash'],['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,387
the strangers,0.3928571428571429,0.8425925925925926,R,bryan bertino,"Scott Speedman, Liv Tyler, Gemma Ward",0.1476014760147601,"scott speedman, liv tyler, gemma ward","['scott speedman', 'liv tyler', 'gemma ward']","['scott speedman', 'liv tyler', 'gemma ward']",['Horror'],0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,305
the judge,0.6250000000000002,0.8981481481481481,R,david dobkin,"Nick Schenk, Bill Dubuque, David Dobkin",0.3505535055350554,"nick schenk, bill dubuque, david dobkin","['nick schenk', 'bill dubuque', 'david dobkin']","['nick schenk', 'bill dubuque', 'david dobkin']",['Crime'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,517
twisters,0.5714285714285715,0.9907407407407408,PG-13,lee isaac chung,"Mark L. Smith, Joseph Kosinski, Michael Crichton",0.2594095940959409,"mark l. smith, joseph kosinski, michael crichton","['mark l. smith', 'joseph kosinski', 'michael crichton']","['mark l. smith', 'joseph kosinski', 'michael crichton']",['Action'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1378
the last stop in yuma county,0.5535714285714287,0.9814814814814814,R,francis galluppi,"Jim Cummings, Faizon Love, Jocelin Donahue",0.1623616236162361,"jim cummings, faizon love, jocelin donahue","['jim cummings', 'faizon love', 'jocelin donahue']","['jim cummings', 'faizon love', 'jocelin donahue']",['Crime'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,709
upgrade,0.642857142857143,0.9351851851851852,R,leigh whannell,"Logan Marshall-Green, Melanie Vallejo, Steve Danielsen",0.1992619926199262,"logan marshall-green, melanie vallejo, steve danielsen","['logan marshall-green', 'melanie vallejo', 'steve danielsen']","['logan marshall-green', 'melanie vallejo', 'steve danielsen']",['Action'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1383
bullet train,0.6071428571428572,0.9722222222222222,R,david leitch,"Brad Pitt, Joey King, Aaron Taylor-Johnson",0.2988929889298893,"brad pitt, joey king, aaron taylor-johnson","['brad pitt', 'joey king', 'aaron taylor-johnson']","['brad pitt', 'joey king', 'aaron taylor-johnson']",['Action'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,528
beverly hills cop: axel f,0.5714285714285715,0.9907407407407408,R,mark molloy,"Will Beall, Tom Gormican, Kevin Etten",0.2546125461254612,"will beall, tom gormican, kevin etten","['will beall', 'tom gormican', 'kevin etten']","['will beall', 'tom gormican', 'kevin etten']",['Action'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1485
x,0.4642857142857144,0.9722222222222222,R,ti west,"Mia Goth, Jenna Ortega, Brittany Snow",0.2177121771217712,"mia goth, jenna ortega, brittany snow","['mia goth', 'jenna ortega', 'brittany snow']","['mia goth', 'jenna ortega', 'brittany snow']",['Horror'],0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2293
bad boys: ride or die,0.5714285714285715,0.9907407407407408,R,adil el arbi,"Will Smith, Martin Lawrence, Vanessa Hudgens",0.2594095940959409,"will smith, martin lawrence, vanessa hudgens","['will smith', 'martin lawrence', 'vanessa hudgens']","['will smith', 'martin lawrence', 'vanessa hudgens']",['Action'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
mad max : the road warrior,0.6607142857142858,0.5925925925925926,R,george miller,"Terry Hayes, George Miller, Brian Hannant",0.1845018450184501,"terry hayes, george miller, brian hannant","['terry hayes', 'george miller', 'brian hannant']","['terry hayes', 'george miller', 'brian hannant']",['Action'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,775
sting,0.3214285714285715,0.9907407407407408,R,kiah roache-turner,"Jermaine Fowler, Ryan Corr, Alyla Browne",0.1697416974169742,"jermaine fowler, ryan corr, alyla browne","['jermaine fowler', 'ryan corr', 'alyla browne']","['jermaine fowler', 'ryan corr', 'alyla browne']",['Horror'],0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1323
monkey man,0.5357142857142859,0.9907407407407408,R,dev patel,"Dev Patel, Paul Angunawela, John Collee",0.2767527675276753,"dev patel, paul angunawela, john collee","['dev patel', 'paul angunawela', 'john collee']","['dev patel', 'paul angunawela', 'john collee']",['Action'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,573
the beekeeper,0.4464285714285716,0.9907407407407408,R,david ayer,"Jason Statham, Emmy Raver-Lampman, Bobby Naderi",0.2177121771217712,"jason statham, emmy raver-lampman, bobby naderi","['jason statham', 'emmy raver-lampman', 'bobby naderi']","['jason statham', 'emmy raver-lampman', 'bobby naderi']",['Action'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511
love lies bleeding,0.5000000000000001,0.9907407407407408,R,rose glass,"Anna Baryshnikov, Kristen Stewart, Dave Franco",0.2140221402214022,"anna baryshnikov, kristen stewart, dave franco","['anna baryshnikov', 'kristen stewart', 'dave franco']","['anna baryshnikov', 'kristen stewart', 'dave franco']",['Action'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026
dawn of the planet of the apes,0.6607142857142858,0.8981481481481481,PG-13,matt reeves,"Mark Bomback, Rick Jaffa, Amanda Silver",0.3099630996309963,"mark bomback, rick jaffa, amanda silver","['mark bomback', 'rick jaffa', 'amanda silver']","['mark bomback', 'rick jaffa', 'amanda silver']",['Action'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1528
rise of the planet of the apes,0.6607142857142858,0.8703703703703703,PG-13,rupert wyatt,"James Franco, Andy Serkis, Freida Pinto",0.2177121771217712,"james franco, andy serkis, freida pinto","['james franco', 'andy serkis', 'freida pinto']","['james franco', 'andy serkis', 'freida pinto']",['Action'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2039
road house,0.4107142857142858,0.9907407407407408,R,doug liman,"Anthony Bagarozzi, Chuck Mondry, R. Lance Hill",0.2767527675276753,"anthony bagarozzi, chuck mondry, r. lance hill","['anthony bagarozzi', 'chuck mondry', 'r. lance hill']","['anthony bagarozzi', 'chuck mondry', 'r. lance hill']",['Action'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,598
planet of the apes,0.3214285714285715,0.7777777777777778,PG-13,tim burton,"Pierre Boulle, William Broyles Jr.Lawrence Konner",0.2730627306273063,"pierre boulle, william broyles jr.lawrence konner","['pierre boulle', 'william broyles jr.lawrence konner']","['pierre boulle', 'william broyles jr.lawrence konner']",['Action'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2297
mad max,0.5178571428571429,0.5740740740740741,R,george miller,"James Mc, Causland, George Miller, Byron Kennedy",0.1549815498154981,"james mc, causland, george miller, byron kennedy","['james mc', 'causland', 'george miller', 'byron kennedy']","['james mc', 'causland', 'george miller', 'byron kennedy']",['Action'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,775
war for the planet of the apes,0.6250000000000002,0.925925925925926,PG-13,matt reeves,"Mark Bomback, Matt Reeves, Rick Jaffa",0.3468634686346863,"mark bomback, matt reeves, rick jaffa","['mark bomback', 'matt reeves', 'rick jaffa']","['mark bomback', 'matt reeves', 'rick jaffa']",['Action'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1528
longlegs,0.5714285714285715,0.9907407407407408,R,oz perkins,"Nicolas Cage, Maika Monroe, Alicia Witt",0.2029520295202952,"nicolas cage, maika monroe, alicia witt","['nicolas cage', 'maika monroe', 'alicia witt']","['nicolas cage', 'maika monroe', 'alicia witt']",['Crime'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1755
disturbia,0.5178571428571429,0.8333333333333334,PG-13,d.j. caruso,"Christopher Landon, Carl Ellsworth",0.2177121771217712,"christopher landon, carl ellsworth","['christopher landon', 'carl ellsworth']","['christopher landon', 'carl ellsworth']",['Crime'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461
a simple favor,0.5178571428571429,0.9351851851851852,R,paul feig,"Anna Kendrick, Blake Lively, Henry Golding",0.2619926199261992,"anna kendrick, blake lively, henry golding","['anna kendrick', 'blake lively', 'henry golding']","['anna kendrick', 'blake lively', 'henry golding']",['Comedy'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1785
mothers' instinct,0.4285714285714286,0.9907407407407408,R,benoît delhomme,"Anne Hathaway, Jessica Chastain, Josh Charles",0.2594095940959409,"anne hathaway, jessica chastain, josh charles","['anne hathaway', 'jessica chastain', 'josh charles']","['anne hathaway', 'jessica chastain', 'josh charles']",['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,212
trigger warning,0.5714285714285715,0.9907407407407408,R,mouly surya,"Jessica Alba, Mark Webber, Anthony Michael Hall",0.2594095940959409,"jessica alba, mark webber, anthony michael hall","['jessica alba', 'mark webber', 'anthony michael hall']","['jessica alba', 'mark webber', 'anthony michael hall']",['Action'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1650
emilia perez,0.5892857142857144,0.9907407407407408,R,jacques audiard,"Jacques Audiard, Thomas Bidegain, Nicolas Livecchi",0.2594095940959409,"jacques audiard, thomas bidegain, nicolas livecchi","['jacques audiard', 'thomas bidegain', 'nicolas livecchi']","['jacques audiard', 'thomas bidegain', 'nicolas livecchi']",['Comedy'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,941
boy kills world,0.4642857142857144,0.9814814814814814,R,moritz mohr,"Tyler Burton Smith, Arend Remmers, Moritz Mohr",0.2398523985239852,"tyler burton smith, arend remmers, moritz mohr","['tyler burton smith', 'arend remmers', 'moritz mohr']","['tyler burton smith', 'arend remmers', 'moritz mohr']",['Action'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1648
abigail,0.5000000000000001,0.9907407407407408,R,matt bettinelli-olpin,"Melissa Barrera, Dan Stevens, Alisha Weir",0.2324723247232472,"melissa barrera, dan stevens, alisha weir","['melissa barrera', 'dan stevens', 'alisha weir']","['melissa barrera', 'dan stevens', 'alisha weir']",['Horror'],0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1523
godzilla x kong: the new empire,0.4107142857142858,0.9907407407407408,PG-13,adam wingard,"Terry Rossio, Adam Wingard, Simon Barrett",0.2546125461254612,"terry rossio, adam wingard, simon barrett","['terry rossio', 'adam wingard', 'simon barrett']","['terry rossio', 'adam wingard', 'simon barrett']",['Action'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
civil war,0.6250000000000002,0.9907407407407408,R,alex garland,"Kirsten Dunst, Wagner Moura, Cailee Spaeny",0.2324723247232472,"kirsten dunst, wagner moura, cailee spaeny","['kirsten dunst', 'wagner moura', 'cailee spaeny']","['kirsten dunst', 'wagner moura', 'cailee spaeny']",['Action'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62
mad max: fury road,0.75,0.9074074074074074,R,george miller,"Tom Hardy, Charlize Theron, Nicholas Hoult",0.2730627306273063,"tom hardy, charlize theron, nicholas hoult","['tom hardy', 'charlize theron', 'nicholas hoult']","['tom hardy', 'charlize theron', 'nicholas hoult']",['Action'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,775
atlas,0.3035714285714286,0.9907407407407408,PG-13,brad peyton,"Jennifer Lopez, Simu Liu, Sterling K. Brown",0.2656826568265683,"jennifer lopez, simu liu, sterling k. brown","['jennifer lopez', 'simu liu', 'sterling k. brown']","['jennifer lopez', 'simu liu', 'sterling k. brown']",['Action'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263
furiosa: a mad max saga,0.7142857142857144,0.9907407407407408,R,george miller,"Anya Taylor-Joy, Chris Hemsworth, Tom Burke",0.3763837638376384,"anya taylor-joy, chris hemsworth, tom burke","['anya taylor-joy', 'chris hemsworth', 'tom burke']","['anya taylor-joy', 'chris hemsworth', 'tom burke']",['Action'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,775
"red, white & royal blue",0.5535714285714287,0.9814814814814814,R,matthew lópez,"Taylor Zakhar Perez, Nicholas Galitzine, Uma Thurman",0.2656826568265683,"taylor zakhar perez, nicholas galitzine, uma thurman","['taylor zakhar perez', 'nicholas galitzine', 'uma thurman']","['taylor zakhar perez', 'nicholas galitzine', 'uma thurman']",['Comedy'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1537
despicable me ,0.5714285714285715,0.9907407407407408,PG,chris renaud,"Steve Carell, Kristen Wiig, Joey King",0.1808118081180811,"steve carell, kristen wiig, joey king","['steve carell', 'kristen wiig', 'joey king']","['steve carell', 'kristen wiig', 'joey king']",['Animation'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389
migration,0.5000000000000001,0.9814814814814814,PG,benjamin renner,"Mike White, Benjamin Renner, Ken Daurio",0.1365313653136531,"mike white, benjamin renner, ken daurio","['mike white', 'benjamin renner', 'ken daurio']","['mike white', 'benjamin renner', 'ken daurio']",['Animation'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209
ghostbusters: afterlife,0.5535714285714287,0.962962962962963,PG-13,jason reitman,"Gil Kenan, Jason Reitman, Ivan Reitman",0.2878228782287823,"gil kenan, jason reitman, ivan reitman","['gil kenan', 'jason reitman', 'ivan reitman']","['gil kenan', 'jason reitman', 'ivan reitman']",['Adventure'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1012
sasquatch sunset,0.3035714285714286,0.9907407407407408,R,david zellner,"Jesse Eisenberg, Riley Keough, Christophe Zajac-Denek",0.1549815498154981,"jesse eisenberg, riley keough, christophe zajac-denek","['jesse eisenberg', 'riley keough', 'christophe zajac-denek']","['jesse eisenberg', 'riley keough', 'christophe zajac-denek']",['Action'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,549
 things i hate about you,0.6071428571428572,0.7592592592592593,PG-13,gil junger,"Heath Ledger, Julia Stiles, Joseph Gordon-Levitt",0.1881918819188192,"heath ledger, julia stiles, joseph gordon-levitt","['heath ledger', 'julia stiles', 'joseph gordon-levitt']","['heath ledger', 'julia stiles', 'joseph gordon-levitt']",['Comedy'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,786
babes,0.4642857142857144,0.9907407407407408,R,pamela adlon,"Elena Ouspenskaia, Sandra Bernhard, Oliver Platt",0.2140221402214022,"elena ouspenskaia, sandra bernhard, oliver platt","['elena ouspenskaia', 'sandra bernhard', 'oliver platt']","['elena ouspenskaia', 'sandra bernhard', 'oliver platt']",['Comedy'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1764
no hard feelings,0.4464285714285716,0.9814814814814814,R,gene stupnitsky,"Jennifer Lawrence, Andrew Barth Feldman, Laura Benanti",0.2103321033210332,"jennifer lawrence, andrew barth feldman, laura benanti","['jennifer lawrence', 'andrew barth feldman', 'laura benanti']","['jennifer lawrence', 'andrew barth feldman', 'laura benanti']",['Comedy'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,760
ghostbusters,0.6964285714285715,0.6203703703703703,PG,ivan reitman,"Bill Murray, Dan Aykroyd, Sigourney Weaver",0.2177121771217712,"bill murray, dan aykroyd, sigourney weaver","['bill murray', 'dan aykroyd', 'sigourney weaver']","['bill murray', 'dan aykroyd', 'sigourney weaver']",['Action'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,929
borderlands,0.5714285714285715,0.9907407407407408,R,eli roth,"Eli Roth, Joe Crombie",0.2594095940959409,"eli roth, joe crombie","['eli roth', 'joe crombie']","['eli roth', 'joe crombie']",['Action'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,622
dream scenario,0.5357142857142859,0.9814814814814814,R,kristoffer borgli,"Lily Bird, Nicolas Cage, Julianne Nicholson",0.2066420664206642,"lily bird, nicolas cage, julianne nicholson","['lily bird', 'nicolas cage', 'julianne nicholson']","['lily bird', 'nicolas cage', 'julianne nicholson']",['Comedy'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1335
seize them!,0.1964285714285715,0.9907407407407408,R,curtis vowell,"Aimee Lou Wood, Jessica Hynes, Matthew Cottle",0.2594095940959409,"aimee lou wood, jessica hynes, matthew cottle","['aimee lou wood', 'jessica hynes', 'matthew cottle']","['aimee lou wood', 'jessica hynes', 'matthew cottle']",['Comedy'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457
inside out,0.75,0.9074074074074074,PG,pete docter,"Pete Docter, Ronnie Del Carmen, Meg Le, Fauve",0.1808118081180811,"pete docter, ronnie del carmen, meg le, fauve","['pete docter', 'ronnie del carmen', 'meg le', 'fauve']","['pete docter', 'ronnie del carmen', 'meg le', 'fauve']",['Animation'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1816
deadpool,0.7321428571428573,0.9166666666666666,R,tim miller,"Ryan Reynolds, Morena Baccarin, T.J. Miller",0.2287822878228782,"ryan reynolds, morena baccarin, t.j. miller","['ryan reynolds', 'morena baccarin', 't.j. miller']","['ryan reynolds', 'morena baccarin', 't.j. miller']",['Action'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2303
